"Survey-Response Set","Submitted","","","","","","","","","","","Do you feel the activity was done at the appropriate place in the term?","What did you like most about the activity?","What did you like least about the activity?","What was the most useful concept you learned in the activity?","What would you change about the activity?","Any other comments you would like to activity?"
"SWEN-331 Gameified-Spring 2015","05/05/2015 11:08 AM","5","Strongly Agree","3","Undecided","3","Undecided","5","Strongly Agree","4","Agree","Yeah, it would be nice if more of our activities were like this. It was very engaging. It definitely can't be done unless all the course topics have been covered.","It was fun! Made you think about how real world events affect software security. Also that first month was critical for our team to get everything set up.","Teams were too big. The front page was kind of a mess (flow chart).","SSL > Crypto lol and that Software Security is expensive.","Make it obvious which activities are repeatable on the front page by adding a repeatable symbol to them. Organize the flow chart better. Categorize things and put them in their own containers. It can help visualize and organize the data. The numbers of objects should go in order so that when I'm looking for object 1 its always at the top left hand corner of the flowchart.","As a board gamer I appreciated this activity. I think the packet could be organized a bit better, especially the flowchart, and the teams can be smaller, but other than that it was a great way to end the year."
"SWEN-331 Gameified-Spring 2015","05/05/2015 11:24 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Could have been done earlier but it wasn't too late either","Defiantly makes you think for the future (of the game)","Should have had more options to focus on non security and development","What to do first and what will benefit more in the long run","",""
"SWEN-331 Gameified-Spring 2015","05/05/2015 11:50 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Definitely.","Collaboration instead of competition.","Seemed rushed.","","Make it more collaborative with other teams.",""
"SWEN-331 Gameified-Spring 2015","05/05/2015 12:33 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Very much so. Understanding what each of the tasks was necessary to prioritize them from the vague hints.","It as incredibly engaging and felt like the real world in a way. I find that a lot of SE classes are very vague and only teach principles without ever showing examples or having hands on exhibits, but this activity (and class in general) has broken the stereotype.","I wish it went on longer. I could seriously see myself playing this in my own free time.","I didn't expect the time management to be so difficult. We almost didn't make the deadline because we spent so much time on security research.","Nothing, honestly.","This was a fantastic activity. I'd love to see more of this kind of thing in the rest of the curriculum."
"SWEN-331 Gameified-Spring 2015","05/05/2015 07:24 PM","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","Yes, I feel like we had adequate knowledge of all of the tasks to be able to assess which were better than others and which applied to our specific team.","It was very easy to play and understand. Activities should not be hard to play. It was also a lot of fun.","I actually think we could have gotten through more months in the activity if we moved faster. It did not actually take so long to decide what security features to implement. After the first ""round"" we understood the game well enough to decide pretty quickly.","There are trade-offs between implementing security features and actually completing primary development work. Certain security features and protections apply more to certain teams/domains than others.","It would be really cool if somebody implemented the game as a web app or something like that.","I thought it was great. One of the best activities I've done in the SE major. I would recommend to continue playing it."
"SWEN-331 Gameified-Spring 2015","05/06/2015 12:29 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes.","I enjoyed the interactive and collaborative experience.","The game did relatively little to give us any hints as to what to do next.  I suppose that was realistic, but a subtle push in the right direction may have helped.","It feels good to have been prepared for an attack before the attack happened.","The technology used was a bit clunky, but I recognize it was more of a prototype than a complete, final product.","I have nothing further to add that I did not mention in person."
"SWEN-331 Gameified-Spring 2015","05/08/2015 09:59 AM","4","Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes, it required that we were familiar with all the different aspects of software security. It helped tie them together as a good summary and application.","It seemed well-balanced.","-","focus on aspects of security that are most relevant to the dev team's area","-","-"
"SWEN-331 Gameified-Spring 2015","05/09/2015 05:16 PM","4","Agree","4","Agree","3","Undecided","4","Agree","4","Agree","Yes","Fun and engaging activity to simulate things you wouldn't normally realize in the classroom","Some of the values used seemed a little off at times","You can't predict the future in terms of security, but there are definitely ways to mitigate risks","As above, point values associated with everything","Nope"
"SWEN-331 Gameified-Spring 2015","05/12/2015 08:59 AM","4","Agree","4","Agree","3","Undecided","4","Agree","4","Agree","Yes.","It was something new.","Fill up a spreadsheet was dreadful.","","",""
"SWEN-331 Gameified-Spring 2015","05/12/2015 07:25 PM","4","Agree","4","Agree","4","Agree","4","Agree","4","Agree","Yes","It was an interesting real world simulation.","Teams were too big. Not all voices heard.","","",""
"SWEN-331 Gameified-Spring 2015","05/13/2015 01:11 PM","2","Disagree","1","Strongly Disagree","1","Strongly Disagree","1","Strongly Disagree","1","Strongly Disagree","No! and I wasn't even prepared for it. Also the teams shouldn't be so large so you can actually discuss with everyone and agree on selections as a team!","Cool idea but executed poorly!","Large groups and not being prepared for the activity.","That really large teams do not work when you have five minutes to decide on something.","Pop activities with large groups do not work. Prepare the students and have smaller groups.","Just that the groups should be smaller and the activity should be introduced ahead of time to get the students familiar with the process."
