"Survey-Response Set","Submitted","","","","","","","","","","","Do you feel the activity was done at the appropriate place in the term?","What did you like most about the activity?","What did you like least about the activity?","What was the most useful concept you learned in the activity?","What would you change about the activity?","Any other comments you would like to activity?"
"SWEN-331 Gameified-Fall-2014","12/15/2014 11:23 AM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","Yes","It was an attention grabber, everyone was paying attention and playing the game.","Some of the formulas were confusing and not explained.  In other words, the number of ""dev caps"" we got seemed arbitrary at first and we had a tough time understanding how to get more.","Resources are limited, and there's a wide range of security related tasks that can be performed, and not all of them will be able to be accomplished unfortunately.","Besides better explaining the dev caps formula, I think perhaps setting up an environment that better promotes communication between teams would have been nice.  One way I could think of would be to try to get a Google spreadsheet to work, so that the web team could, for example, see what the API team is planning for the upcoming month and point out any red flags / suggestions.","Fun game, I enjoyed it."
"SWEN-331 Gameified-Fall-2014","12/15/2014 12:18 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Yes, at the end is the best place to do it because we all know about the ideas.","I liked how engrossing it was and how realistic some of the aspects were such as the real world affecting security.","I was part of the Inventory group and I felt like they could've been involved a bit more as far as the exploits were concerned.","Learning how to manage resources and focus on the most important things.","I would involve certain groups like Inventory and Infrastructure a bit more in the exploits and mitigating them. I felt like it was a bit heavy on Mobile/API/Web. This makes sense as it applies to the real world but for the game's sake involving all groups equally would be nice.","10/10 would play again."
"SWEN-331 Gameified-Fall-2014","12/15/2014 12:22 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","5","Strongly Agree","Yes","The subteam structure with their own risks to account for","Nothing","Things are random and it's very hard to prepare against everything","Nothing","I would like to activity"
"SWEN-331 Gameified-Fall-2014","12/15/2014 12:43 PM","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","5","Strongly Agree","Yes, I believe this activity served as a nice type of review for the final.","I enjoyed interacting and communicating with my team to establish monthly development tasks.","The bugs in the spreadsheet, along with confusion behind the devcap algorithm for the month to month spawning.","The unpredictability of future events, and how the establishment of a solid strategy for each development team is necessary for success.","I wouldn't change anything, but the use of Google sheets or even the creation of a Sinatra web-app would increase the overall simplicity of the activity.","Creation of a Rails or Sinatra web-app (as briefly mentioned in-class) sounds like a great idea!"
"SWEN-331 Gameified-Fall-2014","12/15/2014 01:06 PM","5","Strongly Agree","4","Agree","4","Agree","4","Agree","4","Agree","Yes, it was a nice way to wrap up the class after we learned about different security concepts.","","","Predicting and balancing resources in term of development and security is important and difficult.","",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 01:43 PM","5","Strongly Agree","4","Agree","3","Undecided","4","Agree","4","Agree","","","","","",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 03:04 PM","5","Strongly Agree","4","Agree","4","Agree","5","Strongly Agree","4","Agree","yes","A lot of times these activities are too hard to actually figure out what's going on in an hour...by the time you do the class is over.  I really liked that this was 2 classes, and that it was a whole class activity guided by the professor.  It was a lot easier to figure out what was going on and actually get into it.","at the beginning we didn't really know what to pick...but I guess that was the whole point.","","",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 03:44 PM","5","Strongly Agree","2","Disagree","4","Agree","5","Strongly Agree","4","Agree","If it was done one week earlier.","It's an educational game.","Not enough rounds.","Hackermind set.","N/a",""
"SWEN-331 Gameified-Fall-2014","12/15/2014 05:43 PM","5","Strongly Agree","5","Strongly Agree","3","Undecided","5","Strongly Agree","5","Strongly Agree","I think it might actually be better earlier - get a good overview of all the different things a team can do to mitigate software errors, without going into the detail.","Random events","Bookkeeping","Perform mitigation techniques, especially low hanging fruit","Making it an app would greatly reduce game overhead","Sr. Project to turn it into an app"
"SWEN-331 Gameified-Fall-2014","12/15/2014 06:58 PM","5","Strongly Agree","4","Agree","3","Undecided","4","Agree","4","Agree","","It was good to see how the different components of security come together in the end.","","","","I would recommend this activity for future classes."
"SWEN-331 Gameified-Fall-2014","12/17/2014 10:22 AM","4","Agree","4","Agree","4","Agree","4","Agree","4","Agree","Yes.","It was very insightful to see why a company cannot always dedicate as much as it would like towards security, despite its importance.","The prerequisites graph was a little confusing, and so was the ordering of the tasks.","How to try and balance company resources and to try and prepare for unexpected events.","Make the graph and list of tasks more readable.",""
