Name ,FuzzyRisk,JavaFiles,Jlint,DefectCOunt,LOC,CloneFragment,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount
Singapore Internet Radio,92,613,167,6,76639,386,146,0.002179047,7.82891E-05,0,1,4
Lamborghini Wallpapers,92,1882,611,9,272116,1905,494,0.002245366,3.30741E-05,0,3,4
Ten Country,100,5139,1778,15,626750,5400,1383,0.002836857,2.3933E-05,0,4,14
Ecuador Radio Online,51,1179,343,41338,111149,587,229,0.003085948,0.371915177,0,6,3
Singapore Radio,50,2805,707,15,335360,3420,738,0.002108182,4.47281E-05,0,3,7
Coast Live,51,2927,870,12,305677,2182,719,0.002846142,3.92571E-05,0,5,4
Scallywag Tattoos,51,255,86,6,25783,26,9,0.003335531,0.000232711,1,4,5
kiddy kids,50,1970,389,9,159198,639,210,0.002443498,5.65334E-05,1,9,9
Little City 973,100,2875,1220,15,365492,2085,761,0.003337966,4.10406E-05,0,4,7
French Phrases Traveller,51,28,3,3,1775,26,13,0.001690141,0.001690141,2,1,4
AndroSensor SMS Remote,0,6,0,3,122,239,102,0,0.024590164,1,0,1
Spanish German Dictionary Free,92,1518,462,12,180982,944,371,0.00255274,6.63049E-05,0,6,5
ChessPad,51,72,46,3,8011,4,2,0.005742105,0.000374485,0,0,3
"TingApp, per chi va in moto",51,497,96,9,45061,242,99,0.002130445,0.000199729,1,2,6
Music Downloader Mega,92,893,260,6,122134,460,182,0.002128809,4.91264E-05,2,2,10
Taiwan Horeca,51,1415,478,9,150076,1024,351,0.003185053,5.99696E-05,3,1,11
Secret Santa LITE,51,703,176,17,83326,399,159,0.002112186,0.000204018,0,1,3
Alicia Keys Songs Music Player,100,2122,379,12,256413,3070,525,0.001478084,4.67995E-05,2,2,12
Classical,51,549,131,6,50991,186,70,0.002569081,0.000117668,0,1,1
?????????? ???????????????,50,308,91,6,22445,46,20,0.004054355,0.00026732,0,4,8
Password Genius,92,2963,714,9,348095,4004,822,0.002051164,2.5855E-05,1,2,4
Music Download v2,92,798,217,6,109557,441,177,0.001980704,5.4766E-05,1,2,5
TILE CALCULATOR,50,12,0,3,1487,0,0,0,0.002017485,1,0,1
Men's Bible Study,100,2992,864,18,301777,1857,615,0.002863041,5.96467E-05,1,3,14
Leryn Franco Raw,50,724,278,9,79548,256,106,0.003494745,0.000113139,1,4,10
Shahid Afridi Rare Wallpapers,92,716,166,6,88853,400,163,0.001868254,6.75273E-05,0,3,2
Wheres My Ride ?,50,1257,1071,15,233419,1435,380,0.004588315,6.42621E-05,2,6,6
Smartcave,51,772,274,12,79487,305,104,0.003447105,0.000150968,1,1,9
Olha A Pizza,51,739,156,6,79389,434,174,0.001965008,7.55772E-05,0,4,2
Estreia Quinta,92,832,157,9,79254,405,107,0.001980973,0.000113559,2,1,4
RestoFamily,50,1977,464,24,277652,3123,533,0.001671157,8.64391E-05,6,1,13
Put a Bird on it!,92,6110,1605,24,709136,6603,1782,0.002263318,3.3844E-05,0,6,6
Parenting Tips,51,1776,599,18,201461,1715,529,0.00297328,8.93473E-05,1,5,11
TAP N OTTO LITE,51,773,241,12,69118,425,174,0.003486791,0.000173616,1,3,6
Add - Find Pair,51,54,17,3,5098,29,7,0.003334641,0.000588466,2,1,4
Business News Radio,92,613,167,6,76639,386,146,0.002179047,7.82891E-05,0,1,4
TOEIC Videos,92,489,153,6,51238,139,42,0.002986065,0.000117101,0,4,2
US Pennsylvania Radio,92,613,167,6,76639,388,146,0.002179047,7.82891E-05,0,1,4
Wesson News,95,2729,613,12,288957,1626,590,0.002121423,4.15287E-05,2,3,12
BMI Weight Loss Calculator,92,728,170,6,90953,411,166,0.001869097,6.59681E-05,4,3,6
MBI,50,1977,464,24,277652,3122,538,0.001671157,8.64391E-05,6,1,13
Fantastic Gold,92,1159,234,6,92560,674,155,0.00252809,6.48228E-05,0,4,5
Space Bridge (free),92,1281,152,6,176651,2537,402,0.000860454,3.39653E-05,0,1,5
Private Gallery - Free,50,203,65,3,17090,30,13,0.003803394,0.000175541,3,3,7
3D Flower of Love,51,418,94,9,33523,372,125,0.002804045,0.000268472,2,1,5
Tricky Maths,92,3034,719,6,431960,4979,890,0.001664506,1.38902E-05,1,2,5
Number999,51,76,29,3663,7250,2,1,0.004,0.505241379,0,1,3
???????? ??????????? ????,92,222,86,3,41210,54,23,0.002086872,7.27979E-05,0,1,2
Drum-r Sequencer,100,3683,925,120,402659,3749,998,0.002297229,0.000298019,0,3,7
Paragraf Lex - propisi,51,1921,652,12,254227,2116,487,0.002564637,4.72019E-05,0,4,2
Ampache.Net,51,195,2,18,11098,5,1,0.000180213,0.001621914,2,1,4
Dice Substitute,51,92,35,6,8341,26,13,0.00419614,0.000719338,0,1,2
UTRADE ID Mobile,51,864,211,12,78049,650,139,0.00270343,0.00015375,1,0,2
Indosat Arena Musik,51,1693,492,12,159339,858,294,0.003087756,7.53111E-05,2,1,8
GSR Gallery,51,152,50,6,15182,72,10,0.003293374,0.000395205,0,3,2
ObuwieHurt,51,979,207,9,99325,767,294,0.002084067,9.06116E-05,1,2,6
Forgot Phone,50,37,4,6,2794,34,15,0.001431639,0.002147459,3,0,13
NumberPlace Tokaido53,51,188,95,6,23867,42,18,0.003980391,0.000251393,0,6,2
Magic Life Free,0,14,1,3,1181,2,1,0.00084674,0.00254022,0,0,1
Bellard Pi,51,377,73,9,34910,262,97,0.002091091,0.000257806,0,3,1
Gov NFP 2012,51,538,766,24,82467,329,125,0.009288564,0.000291026,1,3,6
Kazakhstan Radio,92,627,186,9,82590,319,131,0.002252089,0.000108972,0,2,4
???? ??,51,270,88,9,25075,63,28,0.003509472,0.000358923,0,3,4
Devious Maids Guess Game,92,876,229,6,105362,478,200,0.002173459,5.69465E-05,1,1,4
GCP android,50,309,92,6,22551,46,20,0.004079642,0.000266064,0,4,7
Pothole Radar,51,79,55,6,12776,32,14,0.004304947,0.000469631,0,0,3
US Ohio Radio,92,613,167,6,76639,386,146,0.002179047,7.82891E-05,0,1,4
US Tennessee Radio,92,613,167,6,76639,387,146,0.002179047,7.82891E-05,0,1,4
miRadio Mexico,51,749,200,9,69228,525,195,0.002889004,0.000130005,0,1,3
US Louisiana Radio,92,613,167,6,76639,386,146,0.002179047,7.82891E-05,0,1,4
miRadio Argentina,51,749,200,9,69226,524,194,0.002889088,0.000130009,0,1,3
Long V??ng * c?c hot 16+*,92,240,85,6,42317,77,34,0.002008649,0.000141787,1,1,3
RAM FM player,51,378,125,3,28589,66,29,0.004372311,0.000104935,0,4,6
?? ????!!,51,45,14,6,3510,20,9,0.003988604,0.001709402,0,0,1
Cheap hotel finder,51,319,97,6,23129,53,23,0.004193869,0.000259415,0,4,5
Jamaica Guide Map & Hotels,100,463,212,6,77153,209,90,0.002747787,7.77676E-05,1,6,5
MotoAgenda Gratis,0,105,53,6,10978,117,36,0.004827837,0.000546548,1,1,1
Cartomanzia Professionale,51,1306,1264,15,285931,1745,410,0.004420647,5.24602E-05,1,11,4
Meeting Wave,50,872,360,6,72176,723,240,0.004987808,8.31301E-05,4,3,8
FF11??????,51,98,28,15,10282,94,25,0.002723206,0.00145886,0,0,3
Cross Stitch Designs Charts,51,1323,1260,15,290011,1786,416,0.004344663,5.17222E-05,0,10,4
Dealer Services,100,2442,738,15,245871,1527,486,0.003001574,6.10076E-05,1,3,14
Jocy's Mexican Restaurant,92,527,146,6,69943,267,110,0.002087414,8.57841E-05,0,1,2
Bagno la Fenice,50,721,84,9,83951,1371,240,0.001000584,0.000107205,5,1,14
PanicApp,92,1159,234,6,92560,660,149,0.00252809,6.48228E-05,0,4,5
Crg1 Web Design Application,51,372,121,3,27789,75,33,0.004354241,0.000107956,0,5,6
Shopping List Trial,0,733,150,6,79516,443,173,0.001886413,7.54565E-05,1,3,2
Bakersfield Hyundai DealerApp,50,2235,587,12,202779,981,297,0.002894777,5.91777E-05,8,1,19
??? ?? ????,100,1528,444,12,229504,757,278,0.001934607,5.22867E-05,1,2,9
Rainy Puzzle,50,423,142,5111,39292,133,60,0.003613967,0.130077369,0,1,9
BoA Wallpaper,50,1578,480,6,183936,1065,365,0.002609603,3.262E-05,0,2,13
BMW M3 E36 Wallpapers,51,854,239,6,83289,382,154,0.002869527,7.20383E-05,2,2,9
New Zealand Radio,92,613,167,6,76639,388,146,0.002179047,7.82891E-05,0,1,4
TOEIC Listening,92,489,153,6,51238,139,41,0.002986065,0.000117101,0,4,2
GoodDriving,50,191,69,6,18887,187,51,0.003653307,0.000317679,1,1,5
Latvia Radio Online,51,1179,343,41338,111111,594,232,0.003087003,0.372042372,0,6,3
MusicMinesweeper,51,223,51,3360,20752,173,55,0.002457594,0.161912105,2,1,4
Radio New Zealand,92,967,251,6,110180,448,177,0.00227809,5.44563E-05,0,1,5
??? ?? ???,52,35,6,9,2384,18,8,0.002516779,0.003775168,15,0,26
???? >????,100,1196,296,12,100775,985,183,0.002937236,0.000119077,2,1,11
Count It!,92,215,81,3,40965,53,23,0.001977298,7.32332E-05,0,1,2
Easy Counter,51,73,23,5111,7034,9,4,0.003269832,0.726613591,0,1,2
Save My Apps (Apps Manager),92,3651,861,13,477148,5523,1106,0.001804472,2.72452E-05,0,3,4
Bible Mind FREE,92,857,205,6,96778,409,169,0.00211825,6.19976E-05,0,1,3
Learn Numbers,51,1327,1272,15,293808,1805,418,0.004329358,5.10537E-05,0,9,5
People Management (PM),51,1689,622,6,237431,1764,442,0.002619708,2.52705E-05,0,3,3
AR FRUIT,51,209,174,6,20051,130,15,0.008677871,0.000299237,0,3,5
ItWorks Wrapaholics,51,319,97,6,23136,53,23,0.0041926,0.000259336,0,4,5
On My Way,51,360,72,6,33480,229,96,0.002150538,0.000179211,1,2,5
Slice Street,51,635,105,15,55885,519,126,0.001878858,0.000268408,3,2,7
??????? for boys,51,729,220,9,66403,282,116,0.003313103,0.000135536,0,2,3
Charity Alarm - Pay to Snooze,0,81,25,6,6604,45,21,0.003785584,0.00090854,1,1,7
Chinese for Europeans 5,51,97,43,12,10613,19,8,0.004051635,0.001130689,0,6,2
1950's Trivia,92,4258,1181,15,468155,4379,1076,0.002522669,3.20407E-05,0,9,2
Chinese for Europeans 2,51,97,43,12,10613,19,8,0.004051635,0.001130689,0,6,2
Chinese for Europeans 4,51,97,43,12,10613,19,8,0.004051635,0.001130689,0,6,2
Magic Times Tables Free,100,54,26,6,4143,2,1,0.006275646,0.001448226,8,0,9
??????? for girls,51,826,252,6,74320,304,125,0.003390743,8.0732E-05,0,2,3
Como se dice - Ed. infantil,92,663,193,9,95334,316,121,0.002024461,9.44049E-05,1,1,3
Chinese for Europeans 3,51,97,43,12,10613,19,8,0.004051635,0.001130689,0,6,2
Energyhive,51,535,139,9,62997,378,129,0.002206454,0.000142864,1,1,3
Wiltshire Times,51,1421,293,24,130863,829,259,0.002238983,0.000183398,1,1,6
Gazette and Herald,51,1421,293,24,130867,831,262,0.002238914,0.000183392,1,1,6
Percent Off,92,515,136,6,69288,264,109,0.001962822,8.65951E-05,0,1,2
Fastest 99,50,166,58,6,15031,28,12,0.003858692,0.000399175,2,1,5
Lire - Magazine,51,861,385,6,93027,756,320,0.004138583,6.44974E-05,0,1,5
bareye,50,1678,260,9,170927,2242,443,0.001521117,5.26541E-05,2,1,12
"Fiches Révisions Bac S, ES, L",50,353,61,3,24155,180,45,0.002525357,0.000124198,6,1,11
World India Radio,92,612,167,6,76356,382,144,0.002187123,7.85793E-05,0,1,4
GoodDriving Driver,50,727,145,6,61806,757,169,0.002346051,9.7078E-05,3,1,7
Argentina Internet Radio,92,613,167,6,76639,386,146,0.002179047,7.82891E-05,0,1,4
US Florida Radio,92,613,167,6,76639,388,146,0.002179047,7.82891E-05,0,1,4
Kashaful Mehjoob,92,232,84,53112,28433,33,14,0.002954314,1.867970316,4,1,6
??????,50,2168,578,15,232388,1469,515,0.00248722,6.45472E-05,3,4,14
????,51,306,52,9,27147,193,82,0.001915497,0.000331528,3,2,8
DBK - FieldServ,85,3923,810,12,458791,4363,978,0.00176551,2.61557E-05,5,6,19
FleetLube,50,3111,745,12,340894,2867,733,0.00218543,3.52016E-05,1,8,12
EZ Auto Sales 4-7-10,50,2151,456,15,209908,1111,370,0.00217238,7.14599E-05,2,3,11
Tbilisi Court of Appeals,51,736,156,6,79257,434,174,0.00196828,7.57031E-05,0,4,1
Pomeroy FieldServ,50,1055,218,12,102684,576,225,0.002123018,0.000116863,3,2,9
Ranong995,51,17,2,6,580,0,0,0.003448276,0.010344828,1,1,1
Go! Mobile,50,574,181,6,48486,186,57,0.003733036,0.000123747,2,0,9
Monkey Escape,51,391,102,3,31899,110,47,0.003197592,9.40468E-05,1,0,5
Trondheim Hotel finder,51,181,62,3,16276,40,18,0.00380929,0.00018432,0,1,3
Save My A,92,323,143,6,38821,47,22,0.003683573,0.000154556,3,1,7
Porsche cars HD Wallpapers,92,1882,611,9,272116,1906,497,0.002245366,3.30741E-05,0,3,4
Palm Beach Motor Cars,50,2620,634,12,234671,1427,382,0.002701655,5.11354E-05,8,1,21
London Hotels,51,378,124,3,28585,66,29,0.004337939,0.00010495,0,4,6
Int’l Breast Cancer Symposium,50,6163,1720,21,669178,6309,1612,0.002570318,3.13818E-05,0,7,13
B-Quik Racing,50,2265,509,15,223053,1194,400,0.002281969,6.72486E-05,2,3,12
Car Sound Ringtones,100,578,190,6,73796,304,105,0.002574665,8.13052E-05,3,0,11
GK Indian Geography,92,705,165,9,87237,398,161,0.001891399,0.000103167,0,3,2
Comfort Guard Contracting,51,813,196,6,69779,374,156,0.002808868,8.59858E-05,0,5,5
New Serenity Spa - Massage Spa,92,1002,274,9,112539,557,209,0.002434712,7.99723E-05,1,1,11
PixAgent,100,2992,864,18,301777,1852,616,0.002863041,5.96467E-05,1,3,14
House of Bullions (HOB),51,365,58,6,32029,254,100,0.001810859,0.00018733,11,1,13
Scripture Mind FREE,92,857,205,6,96778,409,169,0.00211825,6.19976E-05,0,1,3
SanCalc,0,233,53,6,18682,195,80,0.002836955,0.000321165,0,6,1
Baby Numbers (123),92,1465,186,9,193829,2674,452,0.000959609,4.64327E-05,2,2,7
Chinese for Europeans 1,51,97,43,12,10613,19,8,0.004051635,0.001130689,0,6,2
Swivel,51,64,6,6,5401,22,10,0.001110905,0.001110905,0,0,1
????-??·??,50,1100,331,3,106491,755,279,0.003108244,2.81714E-05,3,1,11
Baby Math (1+1),92,615,112,9,59707,358,87,0.001875827,0.000150736,2,1,7
?????????,51,104,40,9,10440,35,15,0.003831418,0.000862069,0,0,5
Names of Allah-Wallpaper 3D HD,92,815,260,12,114601,417,165,0.002268741,0.000104711,1,1,5
99 Names of Allah,0,99,51,9,12040,20,9,0.00423588,0.000747508,0,6,2
TehiliMP3 - Salmos com Áudio,51,1417,394,12,148489,1068,363,0.002653395,8.08141E-05,0,4,4
Master 99 Tables,92,559,141,6,73090,326,135,0.001929128,8.20906E-05,1,1,4
Pole Dancing for Beginners,51,1147,369,12,116250,711,282,0.003174194,0.000103226,1,8,5
¿Como se dice?,92,663,193,9,95346,318,122,0.002024207,9.43931E-05,1,1,3
99 Names of Allah azza wa jal,51,257,122,6,35373,159,70,0.003448958,0.000169621,0,6,2
MAJMUSIC,50,2152,457,15,210547,1103,367,0.002170537,7.1243E-05,2,3,11
Popar Human Anatomy Chart,51,229,146,6,21049,54,24,0.006936196,0.000285049,1,2,9
ZEIT AUDIO,51,3024,799,12,320532,1999,729,0.002492731,3.74378E-05,2,2,6
QuickChange,51,325,97,9,31628,99,45,0.003066903,0.000284558,0,3,2
Interpolation Extrapolation,92,225,85,3,41768,61,26,0.002035051,7.18253E-05,1,1,3
???????+,92,1205,443,6,195789,1441,330,0.00226264,3.06452E-05,1,2,4
99 sinnvolle Lebensfragen,92,524,134,6,70187,264,109,0.001909185,8.54859E-05,0,1,2
Giornale di Sicilia,51,190,39,6,19861,83,33,0.001963647,0.0003021,0,1,5
???? - ?? ?? 99% ??,51,470,77,6,43696,291,123,0.001762175,0.000137312,1,2,4
Guía TerAPPéutica Lite,51,150,69,6,20004,44,19,0.00344931,0.00029994,1,5,4
The Raven Prologue,92,169,51,6,19255,85,40,0.002648663,0.000311607,0,8,3
A320 Trainer (ENH CFM),92,13,0,6,1707,0,0,0,0.003514938,2,0,2
Breaking Bad Wallpapers,92,901,256,79,111230,394,163,0.002301537,0.00071024,1,1,9
????(ST-500?) ??,51,699,313,21,80094,652,175,0.003907908,0.000262192,9,1,18
cracked screen wallpapers,92,709,165,6,87741,402,163,0.001880535,6.83831E-05,0,3,3
Art-Net Controller LITE,51,195,48,9,15674,45,14,0.003062396,0.000574199,3,0,7
Trans-Vox Speech Translator,51,405,149,6,37316,185,71,0.003992925,0.000160789,1,2,5
????????,51,868,199,9,70889,258,75,0.002807206,0.000126959,0,5,6
SMS Jízdenka Brno,0,741,151,6,79622,429,173,0.001896461,7.53561E-05,1,4,2
????(ST-500?) ?????,51,644,299,21,69643,577,162,0.004293325,0.000301538,9,0,18
Design Analysis of Algorithm-1,92,3104,771,6,420751,4861,902,0.001832438,1.42602E-05,1,3,3
Walter White Live Wallpaper,51,286,103,6,31924,107,45,0.003226413,0.000187946,1,3,8
Kuku,92,169,51,6,19255,85,40,0.002648663,0.000311607,0,10,1
Linked University for LinkedIn,51,514,85,6,48015,348,141,0.00177028,0.000124961,0,4,1
????(ST-500?) ????,51,685,304,21,77354,614,171,0.003929984,0.000271479,7,1,18
?????-????VAN,51,654,265,18,70379,604,151,0.003765328,0.000255758,9,1,18
Wordex,51,1067,213,12,97844,662,250,0.002176935,0.000122644,1,2,8
Appnews Network,100,2992,864,18,301777,1850,608,0.002863041,5.96467E-05,1,3,14
???,50,52,10,6,3912,20,10,0.002556237,0.001533742,7,0,17
Codeshot,51,862,218,6,76485,178,72,0.002850232,7.84468E-05,3,3,7
CO Soccer 2,50,487,133,6,45000,299,127,0.002955556,0.000133333,4,2,12
Discount Calculator - Free,92,674,173,6,84848,330,137,0.00203894,7.07147E-05,0,3,2
Recall-Official list,51,1477,289,9,187328,2532,447,0.001542749,4.80441E-05,1,1,4
"'KCP ??"" ????""",51,216,68,12,22301,221,54,0.003049191,0.000538092,7,1,15
Personalized Wall Wallpaper,92,591,149,9,75704,389,145,0.001968192,0.000118884,3,1,7
TonioSpada,51,734,151,9,53039,265,73,0.002846962,0.000169686,1,0,5
Amrit Dhara Vani,100,2485,449,15,297044,3303,693,0.001511561,5.04976E-05,2,1,11
Breaking Bad Live Wallpaper,51,286,103,6,31950,107,45,0.003223787,0.000187793,1,3,8
The Raven Prolog,92,169,51,6,19255,85,40,0.002648663,0.000311607,0,8,3
A320 Trainer (EISII CFM),92,13,0,6,1707,0,0,0,0.003514938,2,0,2
?????????????????,51,175,62,9,15500,30,13,0.004,0.000580645,0,1,2
banban_gold,92,204,82,3,40361,47,20,0.002031664,7.43292E-05,1,1,3
Pokemon Card Damage Counter,92,1417,424,15,141050,763,282,0.003006026,0.000106345,0,4,2
Flashlight for bike,51,452,106,6,40536,230,95,0.00261496,0.000148017,2,1,5
WDCX,51,1067,236,18,91374,787,235,0.002582792,0.000196993,2,2,5
File On The Go,95,2729,613,12,288957,1631,594,0.002121423,4.15287E-05,2,3,12
OREM,95,2729,613,12,288957,1636,594,0.002121423,4.15287E-05,2,3,12
1099Online,51,389,51,6,34803,361,124,0.001465391,0.000172399,1,2,2
W2 Tax Services Easy Efile,92,13,0,6,1707,0,0,0,0.003514938,3,0,3
Contract Pay Rate Calculator,51,187,58,6,15814,38,17,0.003667636,0.000379411,0,1,2
Tax1099,51,385,51,6,33871,368,127,0.001505713,0.000177143,0,2,1
Tax2290.com - File 2290 Online,51,1374,508,9,124496,1629,259,0.004080452,7.22915E-05,1,1,5
Speedy Tax 1040,50,2202,468,15,218431,1115,370,0.002142553,6.86716E-05,2,3,11
CompleteTax Mobile 1040EZ,51,115,63,6,14942,51,24,0.004216303,0.000401553,1,8,2
EmployeeXperience,51,51,9,3,5024,40,9,0.001791401,0.000597134,0,0,2
WLEE News Talk 990 AM,50,989,588,5111,133777,425,186,0.004395374,0.038205372,8,5,18
AM 990 KWAM,50,1722,579,9,188927,979,349,0.003064676,4.76374E-05,2,2,11
DSE ICT Fighting 3,51,1340,1266,15,296951,1798,422,0.00426333,5.05134E-05,0,9,5
DSE ICT Fighting 1,51,1340,1266,15,296951,1789,415,0.00426333,5.05134E-05,0,9,5
DSE ICT Fighting 2,51,1340,1266,15,296951,1791,423,0.00426333,5.05134E-05,0,9,5
Stavoren,50,257,121,9,35365,158,70,0.003421462,0.000254489,7,1,16
Bonnyrigg Sports Club,51,744,243,9,66605,659,175,0.003648375,0.000135125,5,1,12
"???? ????(???, ??????)",51,524,84,6,42035,163,48,0.001998335,0.000142738,2,1,10
Fordpost,50,1977,464,24,277652,3122,534,0.001671157,8.64391E-05,6,1,13
Dallas Hotel Map,51,180,62,3,16271,40,18,0.00381046,0.000184377,0,1,3
Obral Fashion Couple,100,2260,784,9,260035,1737,618,0.003014979,3.46107E-05,0,2,5
SHOP FREE PHONE,51,319,97,6,23129,53,23,0.004193869,0.000259415,0,4,5
????,50,901,176,6,86551,511,199,0.002033483,6.93233E-05,4,0,14
Speak with Guru online shrink!,92,597,151,6,86225,286,119,0.001751232,6.95854E-05,0,0,5
Uruguay Radio Online,51,1179,343,41338,111187,595,233,0.003084893,0.371788069,0,6,3
Oxford FCU Mobile Banking,50,6881,2624,22,720667,2298,817,0.003641071,3.05273E-05,0,2,7
????991,51,1481,420,12,161579,1082,397,0.002599348,7.42671E-05,2,5,15
BDay 991,95,2729,613,12,288906,1642,601,0.002121797,4.1536E-05,2,3,12
800PIN.Com Prepaid Refills,51,437,115,9,45725,255,106,0.002515036,0.000196829,0,6,2
HB by Elma Martins,100,3002,865,18,302643,1841,610,0.002858153,5.9476E-05,1,3,14
Tilt Word,51,1260,1235,15,297138,1692,407,0.004156318,5.04816E-05,0,8,5
HPG Tecnologias de Informação,50,2145,475,15,206120,1180,388,0.002304483,7.27731E-05,2,3,11
WUReUp - Cell Phone Refills,51,437,115,9,45725,255,106,0.002515036,0.000196829,0,6,2
MW Sky Bar,85,2286,506,5123,233409,1406,412,0.002167868,0.021948597,5,1,16
STL TV,95,2729,613,12,288957,1628,592,0.002121423,4.15287E-05,2,3,12
MICROLIGHTS ULTRALIGHTS FLYING,50,945,378,9,105680,341,135,0.003576836,8.51628E-05,1,7,7
CSB Mobile,50,1054,391,15,120183,782,277,0.003253372,0.00012481,0,5,7
Pattaya Tourism Nightlife,92,3022,902,15,304933,1175,428,0.002958027,4.91911E-05,1,9,8
Moon Brisbane,51,829,187,9,75652,629,230,0.002471845,0.000118966,1,1,3
Capitol Connection,51,417,86,6,36687,281,104,0.002344155,0.000163546,3,1,6
????????(?),92,256,46,12,26810,142,62,0.001715778,0.000447594,2,0,5
White Hawk Radio,92,713,166,6,88500,399,162,0.001875706,6.77966E-05,0,2,3
Doha  Ad-Dauha DOH Airport,100,464,212,9,77202,206,88,0.002746043,0.000116577,1,6,5
Colombo Hotel finder,51,181,62,3,16276,40,18,0.00380929,0.00018432,0,1,3
Iglu Radio,100,2992,864,18,301777,1847,614,0.002863041,5.96467E-05,1,3,14
Director Shankar,92,831,178,6,100524,704,195,0.001770721,5.96872E-05,2,3,7
??????????? ??????,51,255,104,6,26109,48,20,0.003983301,0.000229806,1,5,4
Porsche 911 Cabriolet HD LWP,92,734,179,6,92443,405,163,0.001936328,6.49049E-05,1,2,8
Neues Leben,51,1402,503,6,135314,522,205,0.00371728,4.43413E-05,2,4,12
ST. ALBERT REAL ESTATE APP,50,265,73,9,25735,236,67,0.002836604,0.000349718,4,1,10
???? ??? ?????????,50,1120,240,6,137541,1869,324,0.001744934,4.36234E-05,3,1,16
Philadelphia Hotel Map,51,180,62,3,16271,40,18,0.00381046,0.000184377,0,1,3
eMovies,51,218,176,6,21000,130,15,0.008380952,0.000285714,0,4,4
Taxi Trans,50,263,39,9,15459,160,52,0.002522802,0.000582185,4,1,8
Wildlife Removal Toronto,51,343,101,3,25257,61,26,0.003998891,0.000118779,0,4,5
CII,51,933,246,9,100810,1255,251,0.002440234,8.92769E-05,2,1,9
Ninja horn,92,1793,520,9,203786,1231,423,0.002551696,4.4164E-05,0,4,2
Oan gia de dang hoa giai (hay),92,240,85,6,42317,77,34,0.002008649,0.000141787,1,1,3
Glo-Connect,91,3593,678,12,428949,3753,828,0.001580607,2.79754E-05,3,4,14
Republic Bank Mobile Banking,0,1585,199,9,180108,2257,432,0.001104893,4.997E-05,0,5,7
Bulgaria Radio,92,575,158,6,74777,268,114,0.002112949,8.02386E-05,0,1,3
Philadelphia City Guide,100,463,212,6,77153,210,90,0.002747787,7.77676E-05,1,6,5
De Una,0,291,47,6,26018,194,81,0.001806442,0.00023061,1,1,2
Hum Aapke Hain Koun,100,1394,369,12,169168,1119,314,0.002181264,7.09354E-05,4,1,16
Marshallton UMC,50,75,41,6,10284,24,11,0.003986776,0.000583431,5,1,15
