"Survey-Response Set","Submitted","What personality type were you?","Which personality type do you feel was the easiest to work with (D-I-S-C)?","Which personality type do you feel was the most difficult to work with","Which personality type did you accomplish the most work with?","Which personality type did you accomplish the least work with?","What were some of the difficulties you experienced?","Was it easier to work in a group with the same personality type, or different (Same, Different)?","How will this activity help you in the future? - Both in how you work with others and how you self improve.","How did you adapt your behavior when working with each of the different personality groups?","1","1","",""
"DISC Activity Questionaire-sam","11/26/2013 11:43 AM","S","S","D","S","D","With people not of the first personality type as me, it was a bit awkward at first while with the same personality it wasn't very awkward and we quickly got into the work.","Same","I will try to associate with people that are similar to me or if I have to work with someone different than me, I will try to adapt to their personality.","Was more quiet and wasn't as comfortable talking as much.","4","Above Average","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:43 AM","D","C","D","C","D","Conflicting ideas","Different","I'll try not to force everyone to follow my lead.","I managed to find common ground with my first group (my type), and managed to reach an agreement quickly with my second group (mixed type)","3","Average","3","Average"
"DISC Activity Questionaire-sam","11/26/2013 11:43 AM","C","C","D","C","D","In the group where we were mixed, we were much quieter and was not a great dynamic.","Same","I will understand that not everyone has the same personality and we need to know that in order to work together.","I had to speak up more when others did not, or was quieter when others took the lead.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:44 AM","C","C","D","C","D","We got too focused on one aspect of the project and ran out of time for the other parts","I found it easier to work with the same personality type","Be aware of when I'm controlling the project, and aware of how other people prefer to work","In the second group, I took more of a dominant role than I usually do","4","Above Average","3","Average"
"DISC Activity Questionaire-sam","11/26/2013 11:44 AM","C","C","D","C","D","Indecisiveness, considering a decision a bad one and moving on to any other possible options, over-thinking the task.","Same.","It will help me to keep in mind that everyone is different, and differences in personality do affect quality and quantity of work in a group setting.","I try to remember that everyone is different, and keep an open mind to other people's point-of-view. Giving everyone a chance to contribute, and not shutting anyone down when they have an idea makes them more apt to contribute in the future.","5","Excellent","5","Excellent"
"DISC Activity Questionaire-sam","11/26/2013 11:45 AM","C","C","D","C","D","D people were too willful","same","Fix problems with my own stuff","Understand that they may see things differently, then tell them they are wrong.","4","Above Average","3","Average"
"DISC Activity Questionaire-sam","11/26/2013 11:46 AM","C","C","Not Answered","C","Not Answered","One of the difficulties I had, particularly with the first group, was coming up with ideas.  Nobody really seemed to want to put out any ideas.","It was easier working with a group with the same personality type.","This activity showed me how groups can synergize and work well together, as well as how they can fail.  In the future, I will probably try to find ways to get people invested in the group.","When working with a mixed group like the first group, I feel like people were not talking that much.  Next time, I would try something new, like asking each person in the group specifically for an idea, rather than relying on them to speak up.","3","Average","4","Above Average"
"DISC Activity Questionaire-sam","11/26/2013 11:46 AM","S","I","D","I","D","Couldn't think of ideas.","Same personality type.","I don't know what type of person people are, so it won't help.","I don't know what personality types I worked with, and didn't have to change.","3","Average","2","Below Average"
"DISC Activity Questionaire-sam","11/26/2013 11:48 AM","C","C","I","C","I","Wasted time.","Same","Work with same personalities.","Have to account for different views.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","11/26/2013 01:39 PM","D","C","D","C","S","While having different personality types within a group did provide a couple of different out looks on problems, members quick fell into their respective rolls and didn't break out of them at any time. This slowed the progress of creativity.","Different. For brainstorming activities, having the different types of people really helps get a lot of ideas on the table.","The class in general help me become more accepting of other peoples work. Starting the year off I would look over everyones code and make sure it was how I would do it, but that became impractical.","I fought for a lead position, in small groups I'm most comfortable and I like to lead.","5","Excellent","3","Average"
"DISC Activity Questionaire-261-02","11/26/2013 02:02 PM","Not Answered","C","I","C","I","Working with I group i felt they were all over the place and couldn't list pros and cons on certain names and cities for the activity #2. When i worked with a D, C and I in activity #1, i felt the process move more quickly and listing why we should or shouldn't use a certain slogan happened almost automatically.","Different (working with C, D and I in activity #1 went well).","I think I've always liked working with different personality types, I do not know my type but i tend to be more forceful when working in a group and from what I've experienced too many forceful people all wanting their ideas to be the one the group chooses is not a good thing. Having different types working with me helps me to see that other people opinions matter and make for a better outcome.","I was more relaxed with the different types (D,I,C). When i moved to the all I's table i tended to be less relaxed, i'm thinking i might be a D and because all the I's were analyzing my every idea it put more pressure on me. I also wanted them to listen to me and not dazed off into other ideas so quickly. Where as when i was at the (D,I,C) table my ideas were received more easily and analyzed with me not so much as against me. With that said, it helped me to think about my own personality and how i should adjust accordingly when dealing with people in general.","5","Excellent","5","Excellent"
"DISC Activity Questionaire-261-02","11/26/2013 09:59 PM","S","S","C","S","C","The first round, everyone was a little timid. Likely, that was because of the ""pressure"" of needing to figure out a slogan. The group I was in was a little confused on how to get the ball rolling, and being too aggressive/taking on any form of a leader role was difficult. Honestly, it felt like (in terms of this activity) there was a sort of personality clash.","It was actually very easy to work with the same personality type as my own. Supportive people all tend to understand one another, and it's far easier to come up with ideas, and then bounce them around sharing stories. Simply it was very easy to work together.","Still thinking on that.","The reveal wasn't until after the activity, so there was no preface/context for going into and interacting with different personality groups.","4","Above Average","4","Above Average"
"DISC Activity Questionaire-sam","11/27/2013 01:47 AM","C","D","S","D","S","Stubborn, nit-picking, or apathetic personalities","Different","Work groups and work distribution will be defined differently","Focused on tasks I was best at and let others focus on theirs without telling them how to accomplish their own goals","1","Extremely Poor","3","Average"
"DISC Activity Questionaire-261-02","11/27/2013 12:13 PM","D","S","D","S","D","In the Ds group one or two other members came up with an idea and then kind of charged ahead without stopping to see if anybody else had any input.","I thought there was a lot more collaboration in the group that had differing personality types.","DISC personality types are something to keep in mind when working on a project, as differing types seem to be more productive.","","3","Average","3","Average"
"DISC Activity Questionaire-261-02","11/28/2013 10:37 AM","S","S","D","S","D","The D I worked with was pretty pushy, to the point where the group would agree on something and he wouldn't like it fully, then push his own idea through.","Definitely the same. We all built off each others ideas, and it felt like everyone was heard.","It certainly makes it easier to identify what types people are and how to work with them and persuade them to work together better.","I took more of a backseat in the first group, and it was driven by another person. For the second group, I started by fielding some basic, easy questions to get us rolling. After that, we all built on that and it was more of a group than a leader driven exercise.","5","Excellent","4","Above Average"
"DISC Activity Questionaire-261-02","12/08/2013 07:33 PM","S","S","D","S","D","When working in the groups with mixed personality types, the Dominant personality person basically took control, and didn't really care what the rest of us had to say.","Same","I really don't think this activity will help me in the future.","I didn't. I acted about the same in each group.","2","Below Average","2","Below Average"
